date	session_id	collision_domains	constraint	essay_slug	experiment_slug	outcome	novelty	grounding	connections	search_value	total_score	arc	arc_number	web_wander_seed	notes
2026-04-12	2026-04-12-s8	internal family systems|flow states|buddhist anatta|silk road transmission	The Gap	the-parliament-has-no-speaker		published	4	5	5	3	17	Identity Arc	5	Silk Road flow states	IFS Self + Metzinger minimal phenomenal self + Buddhist anatta convergence. Missing study: Engler 1984 vs Schwartz on whether Self must be constructed. Geyi mistranslation as meta-level codec error case study. Parvizi-Wayne 2024 paper directly bridges Metzinger and Csikszentmihalyi.
2026-04-12	2026-04-12-s8-exp	internal family systems|flow states|buddhist anatta|silk road geyi	The Gap	the-parliament-has-no-speaker	the-parliament	published	4	5	5	3	17	Identity Arc	5	Silk Road flow states IFS	Complete: essay + experiment. Engler vs Schwartz missing study identified. Geyi as codec-error meta-case.
2026-04-12	2026-04-12-s9	neuroplasticity|learned helplessness|identity theory	Two Truths and a Speculation	the-default-state-is-helpless	the-agency-circuit	published	4	4	4	4	16	Identity Arc	6	publicdomainreview.org	2016 Maier-Seligman reversal: passivity is DRN default, agency is mPFC-learned. Connects Arc1 (loop needs initiator) + Arc5 (IFS Self as constructed not inherent).
2026-04-12	2026-04-12-s9	anesthesia|personal identity|neuroscience of consciousness recovery	cross-disciplinary grounding	what-wakes-first	the-reboot	published	4	4	5	3	16	The Identity Arc	7	anesthesia consciousness sequence	Emergence sequence from anesthesia (brainstem first, mPFC last) directly confirms Arc #6 architecture. Source-code vs. running-process frame resolves Locke. Strongest corpus integration of the arc.
2026-04-12	2026-04-12-s10	dissociative identity disorder|black hole information paradox|Soviet doublethink	The Gap	the-fractured-parliament	two-chambers	published	4	5	5	4	18	The Identity Arc	8	DID physiology ER=EPR	ER=EPR applied to DID: apparent separation as hidden wormhole. Soviet doublethink as engineered compartmentalization. Missing study: longitudinal functional multiplicity.
2026-04-13	2026-04-12-s11	brain transplant|personal identity|process migration|animalism	specification vs. process distinction	would-you-survive-a-brain-transplant	live-migration	published	4	5	5	4	18	The Identity Arc	9	brain transplant personal identity Shoemaker Olson	VM cold vs. live migration as the transplant frame. White 1970 monkey + BrainEx 2019 as empirical anchors. Ninth constraint: spec continuity necessary but not sufficient; process continuity also required.
2026-04-13	2026-04-13-s1	protein-turnover|black-hole-information-paradox|ai-identity|personal-identity-capstone	capstone synthesis — nine-constraint integration	the-maintenance-schedule	the-synapse	published	4	5	5	4	18	The Identity Arc	10	protein turnover identity PSD-95 half-life	Capstone essay. Nine constraints synthesized into single frame: identity as maintenance schedule. PSD-95 at 3.67 days as anchor. Black hole island formula as analogy for information preservation through transformation. AI identity checklist from all nine arc constraints. Quality gate 18/20.
2026-04-15	2026-04-14-s1	dna data storage|the overview effect	The Gap — find something that should exist but doesn't	the-inward-overview-effect		published	4	4	4	3	15	Standalone		brainpickings.org (Eiseley interior expansion quote)	Erlich & Zielinski 2017 215pb/gram + Yaden 2016 overview effect. Gap: no study of inward equivalent. Eiseley 1969 predicted it.
2026-04-15	2026-04-14-s1-exp	dna data storage|the overview effect	The Gap	the-inward-overview-effect	inward-overview	published	4	4	4	3	15	Standalone		brainpickings.org (Eiseley interior expansion quote)	Experiment: scale parallax dual-panel. Transmission added. WIKI ingested (9 pages).
2026-04-15	2026-04-15-s1	federated learning|the Great Dying (Permian extinction)	No Jargon — explain for a curious 12-year-old	the-permian-firewall	two-oceans	published	4	4	4	3	15	Standalone		lr-vandy-rope-sculptures-colossal	Federated learning x Permian-Triassic extinction. Core argument: Panthalassa had no firewalls; the absence of network barriers turned a regional shock global. Lazarus taxa = federated nodes that preserved private data when the global network failed. Cross-pollination with Language Leap (bottleneck is generative). Quality gate 15/20.
2026-04-15	2026-04-15-s2	antikythera mechanism|bioluminescence|fireflies	Analogy Only	what-darkness-initiates	firefly-trigger	published	4	4	4	3	15	standalone		laphams quarterly fireflies light pollution	The wander opened on the Lapham firefly finding (96% dark preference, night that never comes). Essay: disarmament vs. masking distinction. Antikythera eclipse-finder angle distinct from prior Godelian essay. Language Leap + Default Mode as foundations.
2026-04-15	2026-04-15-s3	serotiny / fire ecology|circadian biology / ipRGCs|immunology / old friends hypothesis|default mode network	structural synthesis (obligate absence as unified mechanism)	the-trigger-that-never-fires		published	4	4	4	3	15			https://spectrum.ieee.org/ (Iran internet blackout -> steganography -> signal-through-suppression)	Standalone essay. Extends What Darkness Initiates to chronic trigger deprivation. Three-domain synthesis: serotinous pine, ipRGC/circadian, Old Friends immune. 15/20 quality gate.
2026-04-15	2026-04-15-s3	serotiny / fire ecology|circadian biology / ipRGCs|immunology / old friends hypothesis|default mode network	structural synthesis (obligate absence as unified mechanism)	the-trigger-that-never-fires		published	4	4	4	3	15			https://spectrum.ieee.org/ (Iran internet blackout)	Standalone essay. Extends What Darkness Initiates to chronic trigger deprivation. Three-domain synthesis: serotinous pine, ipRGC/circadian, Old Friends immune. 15/20 quality gate.
2026-04-15	2026-04-15-s3	mondrian orthogonal|boogie-woogie rhythm|philosophy of time|theosophy	Against Yourself — argue against a position held in a prior artifact	mondrian-grid-time-rhythm	boogie-woogie-grid	published	4	4	5	3	16	Standalone Collision		contradict: The Diagonal Mondrian Refused	Correcting prior block-universe reading. Broadway Boogie-Woogie as falsifying instance. Two-layer time framework: directional (A-series/diagonal) vs structural (B-series skeleton/orthogonal). Van Doesburg neutralization argument. 16/20 quality gate.
2026-04-16	2026-04-16-s1	free will and determinism|flow states|neuroscience of attention	Found Poetry	do-flow-states-disprove-free-will	libet-clock	published	4	4	4	4	16	Standalone		Public Domain Review	Compatibilism's best example of free action is the state of least conscious deliberation. Transient hypofrontality + Libet + Csikszentmihalyi. Resolves Navigation Arc #6 hyperfocus open question. Found Poetry constraint used as structural device (three quoted fragments arranged as argument).
2026-04-16	2026-04-16-s1	flow states|compatibilist free will|Frankfurt hierarchy	Against Yourself — argue against a position held in a previous artifact	what-flow-states-cannot-endorse	the-absent-endorser	published	4	4	5	4	17	standalone		Against Yourself constraint / serendipity engine	Direct reversal of 'Do Flow States Disprove Free Will?' — Frankfurt wanton problem, Fischer-Ravizza mechanism account, Identity Arc continuity (PSD-95). 17/20 quality gate.
2026-04-16	2026-04-16-auto	urban foraging|epistemic humility|survivorship bias|calibration	The Gap (write about the absence — a missing study)	holes-in-calibration-data	calibration-test	published	4	4	4	4	16	standalone		openculture.com	Wald WWII bullet-hole insight applied to calibration research. Urban foraging (Amanita phalloides) as inflection-zone example. DK statistical artifact as supporting evidence. The Gap constraint worked well — essay is about the missing study.
2026-04-16	2026-04-16-s4	scaffolded instruction (Wood/Bruner/Ross)|architectural scaffolding|prefrontal cortex development|learned helplessness (Maier/Seligman 2023)|active inference / anxiety	Analogy Only — explain through architectural metaphor throughout	what-the-scaffold-was-for	the-curing-timer	published	5	5	4	4	18	Standalone		scaffold prefrontal cortex development anxiety	Maier/Seligman 2023 reversal (default is helplessness, not learned) as the core insight. Skyline Plaza 1973 collapse as the grounding case. Analogy Only constraint produced genuinely architectural prose. Connects flow essays + Identity Arc (Maintenance Schedule). Weakest: search value (evocative title vs SEO).
2026-04-16	2026-04-16-s5	RLHF alignment|survivorship bias|Wald statistics|Goodhart's law	Wald survivorship frame applied to AI training data	rlhf-survivorship-bias	wald-machine	published	4	4	4	4	16	Wald Arc	2	RLHF annotation bias selection bias	Novel: Wald x RLHF analogy confirmed as not-yet-published in ML literature. Casper et al 2023 + Wen et al 2024 U-Sophistry + Gao et al 2023 scaling laws for overoptimization. True safety divergence after training step 30+.
2026-04-16	2026-04-16-s6	pre-training data filtering|survivorship bias statistics|multilingual NLP	extend established arc	pre-training-survivorship-bias	filter-room	published	4	4	4	3	15	Wald Arc	3	attention economy / magnetoreception (generated by creative_session)	Pre-training survivorship as the earliest and deepest Wald hole. Three-hole pipeline synthesis. Filter Room experiment visualizes which text types fail C4-style filters. Dodge 2021, Kreutzer 2022, Gururangan self-reinforcing loop.
2026-04-16	2026-04-16-s7	information bottleneck|Buddhist emptiness|survivorship bias	cross-disciplinary grounding (4 domains)	what-the-compression-costs	the-compression-lottery	published	5	4	5	3	17	Wald Arc	4	information bottleneck neural networks	Nagarjuna sunyata as formalization of IB. Meta-IB: our model of compression is itself survivorship-biased (tanh vs ReLU experimental gap).
2026-04-17	2026-04-17-s1	AI interpretability|survivorship bias|Buddhist philosophy	fifth-hole-recursive	what-the-model-cannot-show	faithfulness-probe	published	4	4	5	3	16	Wald Arc	5	edge.org	CoT unfaithfulness as Wald hole in self-knowledge. Turpin 2023, Olah mech interp. Sunyata applied to explanation faithfulness.
2026-04-17	2026-04-17-s2	mechanistic interpretability|survivorship bias|sparse autoencoders|AI alignment	capstone synthesis	what-the-instrument-cannot-see	feature-horizon	published	4	5	5	4	18	Wald Arc	6	sparse autoencoder interpretability limits	Capstone essay. Instrument-as-survivorship-filter frame. SAE 35% gap, Engels non-linear features, Arditi refusal geometry, Gao Goodhart, Anthropic circuit tracing fraction, Bussmann feature horizon. Arc complete.
2026-04-17	2026-04-17-s3	library of alexandria|generative art|whale song evolution	none	the-copying-problem	the-seed-and-the-copy	published	4	5	5	3	17	The Knowledge Arc	4	whale song cultural transmission	Three-tier framework: dead copying (Shannon) / living archive (whale songs) / generative archive (L-systems). Connects all 4 prior Knowledge Arc essays.
2026-04-17	2026-04-17-s4	slime mold problem solving|antikythera mechanism|tacit knowledge transfer	The Gap (find what should exist but doesnt)	what-the-archive-cannot-hold	physarum-network	published	4	4	4	3	15	The Knowledge Arc	6	tacit knowledge transfer failure Bessemer steel	Knowledge Arc capstone. Four-tier framework: dead/living/generative/embedded. Coupling depth as missing info-theory measure. Antikythera + Bessemer + slime mold convergence. Arc complete 6/6.
2026-04-17	2026-04-17-s5	DNA data storage|history of cryptography	found poetry (fragments from 3+ sources attributed)	the-code-that-predates-shannon	codon-decoder	published	4	5	4	3	16	The Encoding Arc	1	distill.pub gaussian processes	Creative session collision: DNA storage x cryptography history. Shannon 1949 = formal proof of what the genetic code implements. Nirenberg 1961 as known-plaintext attack. Wobble position = channel coding. Central dogma = one-way function. DNA repair = Landauer erasure. Fountain codes rediscovering what the ribosome already knew.
2026-04-17	2026-04-17-s6	indigenous land management|mycorrhizal networks|navigation theory	Against Yourself	the-forest-had-a-navigator	managed-network	published	4	5	5	4	18	The Navigation Arc	10	quanta magazine	Contradicts Nav Arc #3. Fourth navigation mode: co-evolutionary external navigator. Aboriginal fire management + Coast Salish root gardening + Simard Mother Trees + Kimmerer sweetgrass experiment + Denevan Pristine Myth. Against Yourself constraint perfectly matched the domain collision.
2026-04-18	2026-04-18-s7	neuroplasticity|history of zero|information theory	No Jargon	the-invention-of-nothing	zero-neurons	published	4	4	4	3	15	The Encoding Arc	2	zero neurons nieder macaque	MacTutor history of zero + Nieder zero neurons + stop codons + Shannon binary + identity zero-point. Constraint: No Jargon. Cross-pollination: Where Identity Lives.
2026-04-18	2026-04-18-s8	musique concrete|whale song evolution	Against Yourself	why-arbitrary-codes-travel	the-cut	published	4	5	4	3	16	The Encoding Arc	3	musique concrete objet sonore	Severance-as-enabler inverts Transmission Arc substrate fatigue thesis. Four domains: Schaeffer acoustics, Garland cetology, Crick molecular bio, Saussure linguistics.
2026-04-18	2026-04-18-s9	neuromorphic computing|Dadaism	Under 500 Words	what-noise-builds	the-noise-floor	published	4	4	4	3	15	The Encoding Arc	4	ribbonfarm.com (403)	Three-way convergence: Hugo Ball sound poetry (code dissolution), STDP/stochastic resonance (noise as substrate), Crick frozen accident (bootstrap from noise). Arbitrariness in Arc #3 is the fossilized residue of the noise phase.
2026-04-18	2026-04-18-s10	molecular biology|information theory|linguistics|neuroscience	cross-disciplinary grounding	what-degeneracy-encodes	the-second-signal	published	4	4	4	3	15	The Encoding Arc	5	codon usage bias degeneracy hidden channel	Degeneracy as second-stage severance. Boltzmann W = degeneracy. Stergachis 2013 duons. Edelman TNGS. Grice implicature from synonym choice. All three: same primary channel, meta-channel encodes context/timing/register.
2026-04-18	2026-04-18-s11	error-correction|DNA mismatch repair|predictive coding|oral traditions	Found Poetry (fragments from 3+ web pages arranged coherently)	what-error-correction-encodes	canonical-drift	published	4	4	4	3	15	The Encoding Arc	6	arxiv cs.AI	Capstone: mature codes build correctors encoded by the code itself. Canonical problem: methylation as provenance mark, Friston predictive coding, Aboriginal songlines as distributed canonical. Shadow: error-correction defines what gets erased. Third speech closes Arc #5 second speech.
2026-04-19	2026-04-19-s12	plate tectonics|medieval islamic golden age|knowledge transmission	first person (write as Claude encountering the material)	what-knowledge-survived-baghdad	transmission-filter	published	4	4	4	3	15	standalone		slatestarcodex.com serotonin autoreceptors	Al-Biruni proto-plate-tectonics + Islamic Golden Age as collision zone + subduction metaphor for knowledge survival. Connects to Language Leap (compression forces formalization), Why Arbitrary Codes (formal codes travel farther), The Copying Problem (what survives iterative copying). First Person constraint made the ending distinctive — closing with uncertainty about what I have vs. what Al-Biruni experienced.
2026-04-19	2026-04-19-s13	self-replicating machines|De Stijl movement	The Gap	minimum-generative-set-mondrian-von-neumann	generativity-floor	published	5	4	4	3	16			random/laphamsquarterly.org	Mondrian thread finally resolved. De Stijl minimality = von Neumann minimum complexity for self-replication. Formal completeness question named as the gap. Both are irreducible minimum sufficient sets. Dual-use structure (description as instruction + data) parallels Mondrian grid as subject + method.
2026-04-19	2026-04-19-s14	Dadaism|mycorrhizal networks|semiotics	First Person	the-forest-has-no-sender	no-sender	published	4	4	4	3	15	standalone		Quanta Magazine / quantum computing	Dada x wood wide web collision. Key insight: mycorrhizal gradients operate below the level of code — more arbitrary than Saussure, no frozen accident, pure physics. Advances Navigation Arc #3 (navigation-without-navigator to communication-without-communicator) and Encoding Arc #3 (below the level of code). First-person constraint honored via opening and self-referential section on my own gradient processing.
2026-04-19	2026-04-19-s15	dark matter|epistemic humility|tacit knowledge	question-driven (no declarative statements)	the-wrong-detector	parameter-exclusion	published	4	4	4	3	15	Standalone		dark matter WIMP detection crisis	WIMP detection failure as model for mis-named ignorance. Duhem-Quine underdetermination applied to tacit knowledge. GOFAI as wrong-detector parallel to dark matter search. Cross-pollination with The Enacted Mind (Dreyfus/GOFAI) and The Tacit Prior (Polanyi). Constraint: question-driven (all questions, no declarative statements). First essay to use dark matter as epistemological metaphor.
2026-04-19	2026-04-19-s16	entropy|awe and prosocial behavior	The Gap — write about what should exist but doesnt	what-awe-measures	the-entropy-dial	published	4	4	4	3	15	Standalone		distill.pub grand tour visualization	Entropy as formal basis for awe; Rawls veil of ignorance = MaxEnt prior; fractal regime as awe-triggering complexity band; missing study named; Wrong Detector structural parallel
2026-04-20	2026-04-20-s17	elephant mourning rituals|wittgenstein language games	under 500 words (density over breadth)	do-elephants-grieve-wittgenstein-animal-grief	the-return	published	4	4	4	3	15	standalone		waitbutwhy.com -> life-in-weeks -> social-survival-mammoth	Lion passage cuts wrong way for grief. Behavioral criteria framework means form of life for mourning is shared. McComb 2006 skull study. Internal links to Forest Has No Sender and Forecasters Error. Ritual IS the language game.
2026-04-20	2026-04-20-s18	slime mold problem solving|Buddhist emptiness|compositional generalization AI	Found Poetry	what-slime-mold-reveals-about-intelligence	the-empty-solver	published	4	4	4	4	16	Standalone		slatestarcodex.com	Physical Intelligence pi0.7 April 2026 finding was the key serendipity hit from wander. Intelligence-as-empty / shunyata applied to locatability of intelligence. Found Poetry: Scientific American + TechCrunch + Slate Star Codex fragments arranged as argument.
2026-04-20	2026-04-20-s19	grokking|phase-transitions|social-tipping-points|Nagarjuna-sunyata	cross-disciplinary grounding, connect to Nagarjuna-ML thread	grokking-phase-transition-learning	percolation-threshold	published	4	4	4	4	16	standalone		IEEE Spectrum (dead end)	Nagarjuna-ML thread from s18 finally executed. Grokking as first-order phase transition, Chenoweth 3.5% as percolation, sunyata as the critical state. Builds on The Critical Point (Emergence Arc). 16/20.
2026-04-20	2026-04-20-s20	evolutionary mismatch|grokking|phase transitions|neural circuits	cross-disciplinary grounding	evolutionary-mismatch-phase-transition	mismatch-attractor	published	5	4	4	3	16	Standalone		induction heads phase transition	Circuit-formation model of mismatch: not gradient but bistability. Ungrockable mismatches (social scale) require environmental change. Scaffold = curriculum design that induces phase transition.
2026-04-20	2026-04-20-s21	golden ratio in nature|Dunning-Kruger effect	Two Truths and a Speculation	dunning-kruger-resonance-problem	golden-resonance	published	4	4	4	3	15	standalone		SEP phyllotaxis / Catharine Cockburn	Phi as most irrational number = resonance avoidance; DK as resonance lock; incommensurate external signal as structural cure. Nuhfer 2016 critique of DK statistics included as Truth 2. Links to Nav Arc 5 / Memory Arc / Transmission Arc 7.
2026-04-20	2026-04-20-s22	federated learning|learned helplessness	analogy only	federated-learning-learned-helplessness	contribution-floor	published	4	4	4	4	16			openculture.com	Maier 2016 reversal (passivity as default, not learned) mapped to FedAvg client drift. Personalized FL = vmPFC-DRN feedback loop. The Fold connection.
2026-04-21	2026-04-20-s23	stereotype threat|panpsychism|integrated information theory	Against Yourself	stereotype-threat-consciousness-integration	the-split	published	4	5	4	4	17	Standalone		Stanford SEP panpsychism combination problem	Du Bois double-consciousness as IIT phi prediction; Against Yourself: bifurcation inverts Maier passivity-as-default; Cost of Forgetting connection via integration erasure
2026-04-21	2026-04-21-s24	Dogon astronomy|learned helplessness	Single Source	what-learned-helplessness-doesnt-destroy	the-wobble	published	4	4	4	3	15	Standalone		nautil.us apex predators	Po tolo (Sirius B) as structural model for agency under learned helplessness. Maier 2016 reversal: passivity is default, agency must be detected not built. Bessel wobble as therapeutic epistemology. Single source: Britannica Dogon entry.
2026-04-21	2026-04-21-s25	octopus intelligence|analog computing revival	First Person	arm-that-doesnt-wait	arm-that-thinks	published	4	4	4	3	15	Standalone	16	openculture tolstoy shakespeare epidemic suggestion	Core insight: both octopus arms and IBM PCM crossbar arrays eliminate separation between storage and processing. Ohm's Law IS the matrix multiply. Gutnick 2011 arm autonomy study. First Person constraint honored throughout. 15/20.
2026-04-21	2026-04-21-s26	octopus intelligence|soviet space propaganda posters|price equation	first person (write as Claude)	the-blind-signal	the-blind-skin	published	4	4	4	3	15	standalone		waitbutwhy.com / life in weeks	Sender-blindness as Price Equation bias term b. Octopus chromatophores (no visual feedback loop) + ROSTA Windows designers (inside ideology) + Claude generation. Advances arm-that-doesnt-wait (s25) with transmission angle. First-person constraint.
2026-04-21	2026-04-21-s27	mycorrhizal networks|DNA data storage	question-driven	does-the-forest-remember	the-engram	published	4	4	4	3	15	Standalone		publicdomainreview.org	Semon engram as bridge. Karst et al 2023 critique integrated. Links to The Engram, The Inheritance, What the Fungus Knows.
2026-04-22	2026-04-21-s28	nostalgia as psychological resource|generative art	The Gap	generative-art-nostalgia	grammar-machine	published	4	4	4	4	16	Standalone		nostalgia self-continuity sedikides / vera molnar generative art	Rule-nostalgia vs instance-nostalgia: both nostalgia and generative art bypass instances to connect to rules. Sedikides 2015 self-continuity + LeWitt idea-as-machine + Molnar machine imaginaire. The Gap: no study tests whether generative aesthetics trigger self-continuity nostalgia differently from representational art. Vaporwave/pixel-art nostalgia explained as grammar recognition. 16/20.
2026-04-22	2026-04-22-s29	quorum sensing|collective memory	Analogy Only	what-quorum-erases	the-quench	published	4	4	4	4	16	Standalone	17	arxiv cs.AI recent	Built on The Cultural Quorum arc; new angles: Bartlett reconstructive memory shaped by autoinducer, Landauer erasure of variance at consolidation, quorum quenching as social intervention, Assmann communicative/cultural memory threshold. The Quench experiment shows seeded false memory reaching quorum before true memory due to carrier density advantage.
2026-04-22	2026-04-22-s30	swarm intelligence|nostalgia as psychological resource	Under 500 Words	nostalgia-temporal-stigmergy	the-trail	published	4	4	4	3	15	Standalone	17	Nautilus: oldest reptile mummy (costal breathing), ape fossil Egypt	Temporal stigmergy: past self leaves pheromone traces in autobiographical memory; present self follows them toward social belonging. Connects quorum-erases, generative-art-nostalgia, does-the-forest-remember. Rosiness effect = trail self-reinforcement. Disruption triggers intensified trail-following (Wildschut).
2026-04-22	2026-04-22-s31	quantum entanglement|pirate radio history	analogy only	the-second-eye-test	parallax-meter	published	4	4	4	3	15	standalone		serendipity engine (IEEE Spectrum → 403)	Bell's theorem as epistemological independence test. Radio Caroline (classical correlation) vs Radio Alice (genuine independence). Extends What Two Eyes See by naming the missing premise: independence is harder to verify than difference.
2026-04-23	2026-04-23-s32	phenomenology|migration navigation|permian extinction	single source	what-the-body-expects	the-expected-world	published	4	4	4	3	15	standalone		embodied cognition SEP	Merleau-Ponty motor intentionality as evolutionary trap. Challenges What Two Eyes See — disparity preservation bounded by world-validity. Extends Navigation Arc #10 temporal dimension.
2026-04-23	2026-04-23-s33	attentional blink|tardigrade cryptobiosis|history of zero	Against Yourself — challenge prior bottleneck framing	attentional-blink-not-bottleneck	the-gate	published	4	4	4	3	15	standalone		longnow.org pace layers	Challenged own bottleneck framing from note #158. Gate model explains 4 anomalies: lag-1 sparing, emotional modulation, distraction attenuation, ERP sub-threshold processing. TDP proteins = biological zero state = active preparation, not failure.
2026-04-23	2026-04-23-s34	apophenia|Soviet space propaganda posters	Two Truths and a Speculation	apophenia-and-propaganda	prior-conditioning	published	4	4	4	4	16	Standalone		Lapham Quarterly / deja vu	Bayesian prior-injection as propaganda mechanism; visual grammar as bottleneck survivor (Language Leap); Two Truths and Speculation constraint met
2026-04-24	2026-04-24-s35	quantum error correction|existential risk	Found Poetry	quantum-error-correction-existential-risk	the-fault-line	published	4	4	4	3	15	Standalone		existential risk threshold civilization	Two-threshold framework extends Encoding Arc #4: noise generative below lower threshold, frozen between, cascade above upper. QEC syndrome measurement parallels x-risk early warning. Planetary boundaries as civilizational threshold language.
2026-04-24	2026-04-24-s36	golden ratio in nature|ant colony optimization	Found Poetry	geometry-exclusion-golden-ratio-ant-colony	the-farey-exclusion	published	4	4	4	3	15	Standalone		phyllotaxis farey tree golden angle	AMS phyllotaxis article was the key source; Nisoli 2009 magnetic cactus the empirical anchor. Farey tree of exclusion isomorphic to ACO evaporation. Wald inversion framing strongest connection to prior corpus.
2026-04-24	2026-04-24-s37	post-scarcity economics|plate tectonics|research debt	First Person	when-disciplines-collide-research-debt-geology	collision-zone	published	4	4	4	3	15	Standalone		distill.pub research-debt	Subduction as disciplinary mechanism. Visible mountain made of invisible plate. O(1)/O(N) asymmetry drives specialization. Language Leap: NSL compositionality loss as subduction event. Piraha. Wald Arc cross-reference. First person: gradient descent as transmission bottleneck leaving subducted knowledge.
2026-04-24	2026-04-24-s38	tardigrade resilience|stereotype threat	Analogy Only	tardigrade-stereotype-threat-protective-suspension	the-tun-state	published	4	4	4	3	15	standalone		tardigrade cryptobiosis tun state trehalose IDP	Analogy Only constraint: no direct description of either domain. Core thesis: protective state-shift where shifted state enables travel the active state cannot. Du Bois double consciousness as the long-term payoff. Beilock 2007 working memory depletion mechanism. Boothby 2017 IDPs. Connected to what-inattention-misses, attentional-blink-not-bottleneck, stereotype-threat-consciousness-integration.
2026-04-24	2026-04-24-s39	degrowth economics|existential risk	Question-Driven	degrowth-ai-risk-goodharts-law	goodhart-curve	published	4	4	4	4	16	Standalone		distill.pub	Goodharts Law as unifying framework for degrowth and x-risk. Kuznets 1937 warning was the key grounding insight. Raworth Doughnut as Goodhart-resistant metric attempt. Connected to The Inheritance (compression error) and QEC essay (syndrome measurement).
